gene
A4GALT
AAAS
AAGAB
AARS1
AARS2
AASS
ABAT
ABCA1
ABCA12
ABCA2
ABCA3
ABCA4
ABCA5
ABCB1
ABCB11
ABCB4
ABCB6
ABCB7
ABCC1
ABCC11
ABCC2
ABCC6
ABCC8
ABCC9
ABCD1
ABCD3
ABCD4
ABCG5
ABCG8
ABHD12
ABHD16A
ABHD5
ABL1
ACACA
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAT1
ACBD5
ACBD6
ACD
ACE
ACER3
ACHE
ACKR1
ACKR3
ACO2
ACOX1
ACOX2
ACP4
ACP5
ACR
ACSF3
ACSL4
ACSL5
ACTA1
ACTA2
ACTB
ACTC1
ACTG1
ACTG2
ACTL6B
ACTL7A
ACTL9
ACTN1
ACTN2
ACTN3
ACTN4
ACVR1
ACVR1B
ACVR2B
ACVRL1
ACY1
ADA
ADA2
ADAM10
ADAM17
ADAM22
ADAM9
ADAMTS10
ADAMTS13
ADAMTS15
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS2
ADAMTS3
ADAMTSL2
ADAMTSL4
ADAR
ADARB1
ADAT3
ADCY1
ADCY5
ADCY6
ADD3
ADGRE2
ADGRG1
ADGRG2
ADGRG6
ADGRL1
ADGRV1
ADH5
ADK
ADNP
ADPRS
ADRA2A
ADRB1
ADSL
ADSS1
AEBP1
AFF2
AFF3
AFF4
AFG2A
AFG2B
AFG3L2
AFP
AGA
AGBL1
AGBL5
AGK
AGL
AGO1
AGO2
AGPAT2
AGPS
AGR2
AGRN
AGT
AGTPBP1
AGTR1
AGXT
AGXT2
AHCY
AHDC1
AHI1
AHR
AHSG
AICDA
AIFM1
AIMP1
AIMP2
AIP
AIPL1
AIRE
AK1
AK2
AK7
AK9
AKAP3
AKAP9
AKR1C2
AKR1D1
AKT1
AKT2
AKT3
ALAD
ALAS2
ALB
ALDH18A1
ALDH1A2
ALDH1A3
ALDH3A2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG11
ALG12
ALG13
ALG14
ALG2
ALG3
ALG5
ALG6
ALG8
ALG9
ALKBH8
ALMS1
ALOX12B
ALOXE3
ALPK1
ALPK3
ALPL
ALS2
ALX1
ALX3
ALX4
AMACR
AMBN
AMELX
AMER1
AMFR
AMH
AMHR2
AMMECR1
AMN
AMOTL1
AMPD1
AMPD2
AMPD3
AMT
AMTN
ANAPC1
ANAPC7
ANG
ANGPT1
ANGPT2
ANGPTL3
ANK1
ANK2
ANK3
ANKH
ANKLE2
ANKRD11
ANKRD17
ANKRD26
ANKS6
ANLN
ANO1
ANO10
ANO3
ANO5
ANO6
ANOS1
ANTXR1
ANTXR2
ANXA11
AOPEP
AP1B1
AP1G1
AP1S1
AP1S2
AP2M1
AP2S1
AP3B1
AP3B2
AP3D1
AP4B1
AP4E1
AP4M1
AP4S1
AP5Z1
APC
APC2
APCDD1
APOA1
APOA2
APOA4
APOA5
APOB
APOC2
APOC3
APOE
APOLD1
APP
APRT
APTX
AQP1
AQP2
AQP4
AQP5
AQP7
AR
ARCN1
ARF1
ARFGEF1
ARFGEF2
ARG1
ARHGAP19
ARHGAP26
ARHGAP31
ARHGDIA
ARHGEF1
ARHGEF10
ARHGEF15
ARHGEF18
ARHGEF2
ARHGEF9
ARID1A
ARID1B
ARID2
ARL13B
ARL2
ARL2BP
ARL3
ARL6
ARL6IP1
ARMC12
ARMC2
ARMC9
ARNT2
ARPC1B
ARPC4
ARPC5
ARR3
ARSA
ARSB
ARSG
ARSK
ARSL
ARV1
ARX
ASAH1
ASB10
ASCC1
ASCC3
ASCL5
ASH1L
ASL
ASNS
ASPA
ASPH
ASPM
